R36S card cheat sheet - which folder on EASYROMS takes which files (from the OS's es_systems.cfg)
Copy games into F:\<Folder>\ then run:  pwsh -File D:\Games\R36S-tools\update-card.ps1


Folder          System                            Extensions
------          ------                            ----------
3do             3DO                               .bin .chd .cue .iso
advision        Entex - Adventure Vision          .7z .bin .zip
alg             American Laser Games              .alg
amiga           Commodore - Amiga                 .adf .hdf .ipf .lha .zip
amigacd32       Commodore - Amiga CD32            .ccd .chd .cue .iso .lha .mds .nrg
amstradcpc      Amstrad CPC                       .7z .cpc .dsk .zip
apple2          Apple II                          .apple2 .do .dsk .hdv .po .sh .zip
arcade          Arcade - Various Platform         .7z .cue .zip
arduboy         Arduboy                           .hex
astrocde        Astrocade                         .7z .bin .zip
atari2600       Atari - 2600                      .7z .a26 .bin .zip
atari5200       Atari - 5200                      .7z .a52 .zip
atari7800       Atari - 7800                      .7z .a78 .zip
atari800        Atari - 800                       .7z .atr .rom .zip
atarijaguar     Atari - Jaguar                    .abs .bin .cof .j64 .jag .prg .rom
atarilynx       Atari - Lynx                      .7z .lnx .zip
atarist         Atari - ST                        .dim .ipf .msa .st .stx .zip
atarixegs       Atari - XEGS                      .bin .rom .xex .zip
atomiswave      Sega - Atomiswave                 .7z .bin .ist .zip
c128            Commodore - C128                  .7z .bin .cmd .crt .d2m .d4m .d64 .d6z .d71 .d7z .d80 .d81 .d82 .d8z .g41 .g4z .g64 .g6z .gz .m3u .nbz .nib .p00 .prg .t64 .tap .tcrt .vfl .vsf .x64 …
c16             Commodore - C16                   .7z .bin .cmd .crt .d2m .d4m .d64 .d6z .d71 .d7z .d80 .d81 .d82 .d8z .g41 .g4z .g64 .g6z .gz .m3u .nbz .nib .p00 .prg .t64 .tap .tcrt .vfl .vsf .x64 …
c64             Commodore - C64                   .7z .bin .cmd .crt .d2m .d4m .d64 .d6z .d71 .d7z .d80 .d81 .d82 .d8z .g41 .g4z .g64 .g6z .gz .m3u .nbz .nib .p00 .prg .t64 .tap .tcrt .vfl .vsf .x64 …
channelf        Fairchild - ChannelF              .bin .chf .rom .zip
coco3           Tandy - Color Computer 3          .bin .cas .ccc .dsk .rom .wav .zip
coleco          Coleco - ColecoVision             .7z .cas .col .dsk .m3u .mx1 .mx2 .ri .rom .sc .sg .zip
cps1            Arcade - CP System I              .7z .cue .zip
cps2            Arcade - CP System II             .7z .cue .zip
cps3            Arcade - CP System III            .7z .cue .zip
daphne          Daphne                            .daphne
doom            Doom                              .doom .sh .wad
dos             Microsoft - DOS                   .bat .com .conf .cue .dosz .exe .iso .m3u .zip
dreamcast       Sega - Dreamcast                  .7z .cdi .chd .cue .gdi .m3u
easyrpg         EasyRPG                           .easyrpg .zip
enterprise      Enterprise 64/128                 .128 .bas .com .dsk .dtf .img .tap .trn
famicom         Nintendo - Famicom                .7z .nes .unf .unif .zip
fds             Nintendo - Famicom Disk System    .7z .fds .nes .unf .unif .zip
gameandwatch    Nintendo - Game and Watch         .mgw
